Nr,Date,SWRos2,SWRos3
366,2015-01-01,26.80918503,17.9715443
367,2015-01-02,26.80306732,18.02293785
368,2015-01-03,26.40204488,17.6152919
369,2015-01-04,26.13469659,17.34352793
370,2015-01-05,25.95646439,17.16235195
371,2015-01-06,25.83764293,17.04156797
372,2015-01-07,25.75842862,16.96104531
373,2015-01-08,25.70561908,16.90736354
374,2015-01-09,25.67041272,16.87157569
375,2015-01-10,25.64694181,16.84771713
376,2015-01-11,25.63129454,16.83181142
377,2015-01-12,25.62086303,16.82120761
378,2015-01-13,25.61390869,16.81413841
379,2015-01-14,25.60927246,16.80942561
380,2015-01-15,25.60618164,16.80628374
381,2015-01-16,25.60412109,16.80418916
382,2015-01-17,25.60274739,16.80279277
383,2015-01-18,25.6018316,16.80186185
384,2015-01-19,25.60122106,16.80124123
385,2015-01-20,25.60081404,16.80082749
386,2015-01-21,25.6005427,16.80055166
387,2015-01-22,25.6003618,16.80036777
388,2015-01-23,25.6002412,16.80024518
389,2015-01-24,25.6001608,16.80016345
390,2015-01-25,25.6001072,16.80010897
391,2015-01-26,25.60007147,16.80007265
392,2015-01-27,25.60004764,16.80004843
393,2015-01-28,25.60003176,16.80003229
394,2015-01-29,25.60002118,16.80002152
395,2015-01-30,25.60001412,16.80001435
396,2015-01-31,25.60000941,16.80000957
397,2015-02-01,25.60000627,16.80000638
398,2015-02-02,25.60000418,16.80000425
399,2015-02-03,25.60000279,16.80000283
400,2015-02-04,25.60000186,16.80000189
401,2015-02-05,25.60000124,16.80000126
402,2015-02-06,25.60000083,16.80000084
403,2015-02-07,25.61691968,16.8158987
404,2015-02-08,25.61127979,16.81059913
405,2015-02-09,25.60751986,16.80706609
406,2015-02-10,28.97273234,20.16474689
407,2015-02-11,28.0171866,19.20978738
408,2015-02-12,27.21145773,18.40652492
409,2015-02-13,26.67430516,17.87101661
410,2015-02-14,26.31620344,17.51401108
411,2015-02-15,26.07746896,17.27600738
412,2015-02-16,25.91831264,17.11733826
413,2015-02-17,25.81220843,17.01155884
414,2015-02-18,25.74147228,16.94103922
415,2015-02-19,26.00902511,17.20112289
416,2015-02-20,25.87268341,17.06741526
417,2015-02-21,25.78178894,16.97827684
418,2015-02-22,25.72119263,16.91885123
419,2015-02-23,25.68079508,16.87923415
420,2015-02-24,25.69937785,16.90131209
421,2015-02-25,26.17305325,17.36359856
422,2015-02-26,26.15161857,17.3447312
423,2015-02-27,25.98794404,17.18257689
424,2015-02-28,25.9544722,17.15052905
425,2015-03-01,26.04815502,17.24410266
426,2015-03-02,26.85242312,18.04900083
